n,theta_c_deg,guard_band_deg,resonance_cost_dB
2,64.5,5.738421915037963,-17.618355669229175
2,65.0,5.683411433673317,-17.453699260899562
2,65.5,5.629146801018053,-17.289825033435513
2,66.0,5.5756109496434565,-17.126718081213088
2,66.5,5.522787320995257,-16.96436391415953
2,67.0,5.470659846507174,-16.80274844970091
2,67.5,5.41921292954813,-16.64185800518955
2,68.0,5.368431428160319,-16.481679290796066
2,68.5,5.318300638548025,-16.32219940285178
2,69.0,5.268806279279483,-16.163405817628117
2,69.5,5.2199344761661335,-16.00528638554041
2,70.0,5.1716717477856315,-15.847829325764266
2,70.5,5.124004991616767,-15.69102322125337
2,71.0,5.076921470756522,-15.534857014148233
2,71.5,5.030408801191014,-15.379320001566011
2,72.0,4.984454939593229,-15.224401831762144
2,72.5,4.939048171622679,-15.070092500654965
2,73.0,4.894177100702904,-14.916382348705003
2,73.5,4.849830637254174,-14.763262058141187
2,74.0,4.805997988360222,-14.61072265052638
2,74.5,4.762668647848276,-14.458755484655338
2,75.0,4.719832386763931,-14.307352254778127
2,75.5,4.677479244221914,-14.156504989142713
2,76.0,4.635599518616151,-14.00620604885042
2,76.5,4.594183759172418,-13.85644812701829
2,77.0,4.553222757828209,-13.7072242482425
2,77.5,4.512707541425255,-13.558527768357177
2,78.00000000000001,4.472629364200574,-13.41035237448301
2,78.5,4.432979700562717,-13.262692085360161
2,79.00000000000001,4.3937502381411315,-13.115541251959907
2,79.5,4.354932871096087,-12.968894558369593
2,80.0,4.316519693678251,-12.822747022945185
2,80.5,4.27850299402684,-12.677093999725816
2,81.0,4.2408752481962795,-12.531931180104452
2,81.5,4.203629114401617,-12.387254594748569
2,82.0,4.166757427473238,-12.243060615764701
2,82.50000000000001,4.1302531935121785,-12.099345959100027
2,83.0,4.09410958473746,-11.956107687174365
2,83.50000000000001,4.05831993451785,-11.81334321173495
2,84.0,4.022877732579812,-11.671050296926438
2,84.5,3.987776620384789,-11.5292270625677
2,85.0,3.9530103866688386,-11.387871987626601
2,85.5,3.918572963137846,-11.246983913883328
2,86.0,3.884458420312064,-11.10656204977196
2,86.5,3.850660963514211,-10.966605974389518
2,87.00000000000001,3.8171749289948713,-10.827115641660614
2,87.5,3.7839947801903286,-10.68809138464519
2,88.00000000000001,3.751115104106987,-10.549533919975683
2,88.5,3.7185306078280056,-10.411444352409111
2,89.0,3.686236115136717,-10.273824179478286
2,89.5,3.6542265632529722,-10.136675296225416
2,90.0,3.622496999677293,-9.999999999999996
2,90.5,3.591042579139394,-9.863800995301506
2,91.0,3.5598585606465574,-9.72808139864632
2,91.50000000000001,3.5289403046282515,-9.59284474343646
2,92.0,3.4982832701734545,-9.458094984806621
2,92.50000000000001,3.4678830123569266,-9.323836504424008
2,93.0,3.4377351796512805,-9.190074115214175
2,93.5,3.407835511421672,-9.056813065984112
2,94.0,3.3781798354998775,-8.92405904591218
2,94.5,3.348764065835058,-8.791818188872677
2,95.0,3.3195842002180354,-8.660097077560861
2,95.5,3.2906363180769125,-8.528902747382535
2,96.00000000000001,3.2619165783408874,-8.398242690070138
2,96.5,3.2334212173702954,-8.268124856985589
2,97.00000000000001,3.2051465469500107,-8.138557662067942
2,97.5,3.177088952344499,-8.009549984382199
2,98.0,3.1492448904116723,-7.881111170223443
2,98.5,3.1216108877740956,-7.7532510347288195
2,99.0,3.094183539045076,-7.625979862947925
2,99.5,3.0669595051078566,-7.499308410320279
2,100.0,3.039935511446207,-7.373247902507276
2,100.50000000000001,3.0131083465243234,-7.247810034523972
2,101.0,2.986474860214594,-7.123006969115087
2,101.50000000000001,2.9600319622714393,-6.998851334318071
2,102.0,2.9337766208497347,-6.87535622015529
2,102.5,2.907705861066181,-6.7525351743963125
2,103.0,2.8818167636023806,-6.630402197331049
2,103.5,2.8561064633478086,-6.508971735493971
2,104.0,2.830572148081969,-6.38825867427988
2,104.5,2.8052110571936484,-6.26827832939208
2,105.00000000000001,2.7800204804367614,-6.149046437064657
2,105.5,2.754997756721127,-6.030579143001833
2,106.00000000000001,2.730140272937012,-5.912892989979126
2,106.5,2.705445462812805,-5.796004904053277
2,107.0,2.6809108058039572,-5.679932179330631
2,107.5,2.6565338260130966,-5.564692461247191
2,108.0,2.6323120911393247,-5.450303728317244
2,108.5,2.60824321145675,-5.336784272312243
2,109.0,2.584324838820348,-5.224152676836788
2,109.50000000000001,2.560554665699149,-5.112427794274309
2,110.0,2.5369304242352,-5.001628721081838
3,20.0,59.11759606115227,-59.534516213382545
3,20.5,57.88583141784595,-58.877492507871
3,21.0,56.698321204361136,-58.2356289172192
3,21.5,55.55292155493227,-57.60819489343896
